name,total+AF8-citation,gen+AF8-citation,com+AF8-citation,copious+AF8-citation,self+AF8-citation,NGC,NCC,OC,institute,domain,hindex,i10,hindex validation,Check if hindex lesser than total citations,,,,
A0,243,73,76,56,6,1,0.6872,0.8683,Oregon State University,Ubiquitous Computing,11,11,121,TRUE,,,,
A1,741,45,410,23,76,1,0.4467,0.7476,University of Toronto,Ubiquitous Computing,21,21,441,TRUE,,,,
A100,223,72,116,31,3,1,0.4798,1,University of New Brunswick,Molecular Information Systems,9,5,81,TRUE,,,,
A1000,530,93,272,12,123,1,0.4868,1, Riverside+ACI-,Artificial Intelligence,13,18,169,TRUE,,,,
A1001,998,452,6,414,65,1,1,1,University of Georgia ,Computing for Development,16,29,256,TRUE,,,,
A1002,185,87,80,12,3,1,0.5676,1,Boston University Graduate School,Ubiquitous Computing,8,7,64,TRUE,,,,
A1003,316,255,57,1,1,0.193,1,1,Aarhus University,Molecular Information Systems,12,16,144,TRUE,,,,
A1004,72,6,56,4,0,1,0.2222,0.9167,Massachusetts Institute of Technology,Computational +ACY- Synthetic Biology,4,1,16,TRUE,,,,
A1005,799,672,109,4,1,0.1589,1,1,University of New Brunswick,Data Management and Visualization,24,27,576,TRUE,,,,
A1006,643,104,114,246,110,1,1,0.8927,University of Auckland,Programming Languages and Software Engineering,21,21,441,TRUE,,,,
A1007,483,332,42,26,64,0.3126,1,1, Irvine +ACI-,Computer Architecture,18,20,324,TRUE,,,,
A1008,642,473,151,2,12,0.2632,1,1, Berkeley+ACI-,Artificial Intelligence,12,15,144,TRUE,,,,
A1009,861,525,156,102,75,0.3902,1,1,Rijksuniversiteit Groningen,Ubiquitous Computing,26,28,676,TRUE,,,,
A101,438,359,73,3,0,0.1804,1,1,Aarhus University,Data Management and Visualization,10,8,100,TRUE,,,,
A1010,500,327,167,0,5,0.346,0.666,1,University of Washington,Programming Languages and Software Engineering,19,20,361,TRUE,,,,
A1011,259,246,6,2,2,0.0502,1,1, Los Angeles+ACI-,Wireless and Sensor Systems,9,8,81,TRUE,,,,
A1012,659,162,406,81,4,1,0.3839,1,Aarhus University,Systems and Networking,13,21,169,TRUE,,,,
